assignment_id,group,Map 1,Map 2,Map 3,Map 4,Map group,hasStarted,hasFinished
L017,Low,2_forced_hard_seed3_4520000_40.json,2_forced_hard_4_seed4_9020000_40.json,2_incentivized_hard_seed3_780000_40.json,2_incentivized_hard_4_seed5_1520000_40.json,O1,FALSE,FALSE
L018,Low,2_forced_hard_seed3_4520000_40.json,2_forced_hard_4_seed4_9020000_40.json,2_incentivized_hard_seed3_780000_40.json,2_incentivized_hard_4_seed5_1520000_40.json,O1,FALSE,FALSE
L019,Low,2_forced_hard_4_seed4_9020000_40.json,2_incentivized_hard_seed3_780000_40.json,2_incentivized_hard_4_seed5_1520000_40.json,2_forced_hard_seed3_4520000_40.json,O2,FALSE,FALSE
L020,Low,2_forced_hard_4_seed4_9020000_40.json,2_incentivized_hard_seed3_780000_40.json,2_incentivized_hard_4_seed5_1520000_40.json,2_forced_hard_seed3_4520000_40.json,O2,FALSE,FALSE
L021,Low,2_incentivized_hard_seed3_780000_40.json,2_incentivized_hard_4_seed5_1520000_40.json,2_forced_hard_seed3_4520000_40.json,2_forced_hard_4_seed4_9020000_40.json,O3,FALSE,FALSE
L022,Low,2_incentivized_hard_seed3_780000_40.json,2_incentivized_hard_4_seed5_1520000_40.json,2_forced_hard_seed3_4520000_40.json,2_forced_hard_4_seed4_9020000_40.json,O3,FALSE,FALSE
L023,Low,2_incentivized_hard_4_seed5_1520000_40.json,2_forced_hard_seed3_4520000_40.json,2_forced_hard_4_seed4_9020000_40.json,2_incentivized_hard_seed3_780000_40.json,O4,FALSE,FALSE
L024,Low,2_incentivized_hard_4_seed5_1520000_40.json,2_forced_hard_seed3_4520000_40.json,2_forced_hard_4_seed4_9020000_40.json,2_incentivized_hard_seed3_780000_40.json,O4,FALSE,FALSE
L025,Low,2_forced_hard_seed3_5020000_40.json,2_forced_hard_4_seed6_10000000_40.json,2_incentivized_hard_seed3_1220000_60.json,2_incentivized_hard_4_seed5_2020000_40.json,O1,FALSE,FALSE
L026,Low,2_forced_hard_seed3_5020000_40.json,2_forced_hard_4_seed6_10000000_40.json,2_incentivized_hard_seed3_1220000_60.json,2_incentivized_hard_4_seed5_2020000_40.json,O1,FALSE,FALSE
L027,Low,2_forced_hard_4_seed6_10000000_40.json,2_incentivized_hard_seed3_1220000_60.json,2_incentivized_hard_4_seed5_2020000_40.json,2_forced_hard_seed3_5020000_40.json,O2,FALSE,FALSE
L028,Low,2_forced_hard_4_seed6_10000000_40.json,2_incentivized_hard_seed3_1220000_60.json,2_incentivized_hard_4_seed5_2020000_40.json,2_forced_hard_seed3_5020000_40.json,O2,FALSE,FALSE
L029,Low,2_incentivized_hard_seed3_1220000_60.json,2_incentivized_hard_4_seed5_2020000_40.json,2_forced_hard_seed3_5020000_40.json,2_forced_hard_4_seed6_10000000_40.json,O3,FALSE,FALSE
L030,Low,2_incentivized_hard_seed3_1220000_60.json,2_incentivized_hard_4_seed5_2020000_40.json,2_forced_hard_seed3_5020000_40.json,2_forced_hard_4_seed6_10000000_40.json,O3,FALSE,FALSE
L031,Low,2_incentivized_hard_4_seed5_2020000_40.json,2_forced_hard_seed3_5020000_40.json,2_forced_hard_4_seed6_10000000_40.json,2_incentivized_hard_seed3_1220000_60.json,O4,FALSE,FALSE
L032,Low,2_incentivized_hard_4_seed5_2020000_40.json,2_forced_hard_seed3_5020000_40.json,2_forced_hard_4_seed6_10000000_40.json,2_incentivized_hard_seed3_1220000_60.json,O4,FALSE,FALSE
L033,Low,2_forced_hard_seed4_3520000_40.json,2_forced_hard_4_seed7_8520000_40.json,2_incentivized_hard_seed4_1020000_40.json,2_incentivized_hard_4_seed6_2520000_40.json,O1,FALSE,FALSE
L034,Low,2_forced_hard_seed4_3520000_40.json,2_forced_hard_4_seed7_8520000_40.json,2_incentivized_hard_seed4_1020000_40.json,2_incentivized_hard_4_seed6_2520000_40.json,O1,FALSE,FALSE
L035,Low,2_forced_hard_4_seed7_8520000_40.json,2_incentivized_hard_seed4_1020000_40.json,2_incentivized_hard_4_seed6_2520000_40.json,2_forced_hard_seed4_3520000_40.json,O2,FALSE,FALSE
L036,Low,2_forced_hard_4_seed7_8520000_40.json,2_incentivized_hard_seed4_1020000_40.json,2_incentivized_hard_4_seed6_2520000_40.json,2_forced_hard_seed4_3520000_40.json,O2,FALSE,FALSE
L037,Low,2_incentivized_hard_seed4_1020000_40.json,2_incentivized_hard_4_seed6_2520000_40.json,2_forced_hard_seed4_3520000_40.json,2_forced_hard_4_seed7_8520000_40.json,O3,FALSE,FALSE
L038,Low,2_incentivized_hard_seed4_1020000_40.json,2_incentivized_hard_4_seed6_2520000_40.json,2_forced_hard_seed4_3520000_40.json,2_forced_hard_4_seed7_8520000_40.json,O3,FALSE,FALSE
L039,Low,2_incentivized_hard_4_seed6_2520000_40.json,2_forced_hard_seed4_3520000_40.json,2_forced_hard_4_seed7_8520000_40.json,2_incentivized_hard_seed4_1020000_40.json,O4,FALSE,FALSE
L040,Low,2_incentivized_hard_4_seed6_2520000_40.json,2_forced_hard_seed4_3520000_40.json,2_forced_hard_4_seed7_8520000_40.json,2_incentivized_hard_seed4_1020000_40.json,O4,FALSE,FALSE
